name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
César Azpilicueta 105,Chelsea,130,DEF,2,6,8,1,0,53,0,0,0,0,16,60,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Ayoze Pérez 265,Leicester,129,MID,8,5,9,0,0,25,0,0,0,0,9,65,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Lewis Dunk 42,Brighton,128,DEF,3,3,9,9,0,50,0,0,0,0,17,45,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Jonny Evans 162,Leicester,128,DEF,1,2,13,7,1,41,1,0,0,0,12,50,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Aaron Wan-Bissaka 122,Man Utd,127,DEF,0,4,12,8,0,33,0,0,0,0,16,55,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Christian Pulisic 431,Chelsea,127,MID,9,8,6,0,0,28,0,0,0,0,8,75,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Aaron Ramsdale 494,Bournemouth,126,GK,0,1,5,0,0,62,0,0,1,128,13,45,2.0,1020.0,1020.0,990.0,1030.0,1000.0,1050.0,2019-20
Dominic Calvert-Lewin 147,Everton,126,FWD,13,1,8,9,0,43,0,0,0,0,15,60,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
James Maddison 171,Leicester,125,MID,6,5,10,4,0,26,0,0,0,0,14,70,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Serge Aurier 336,Spurs,124,DEF,1,7,9,2,1,33,1,0,0,0,15,50,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Jonathan Castro Otto 402,Wolves,123,DEF,2,3,11,4,0,35,0,0,0,0,6,55,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
