name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Seamus Coleman,Everton,39,DEF,0,1,4,0,0,12,0,0,0,0,0,65,11.0,1035,1,3,0,0,0,0,0,0,2017-18,0
Markus Suttner,Brighton,38,DEF,0,0,4,0,0,18,0,0,0,0,3,45,13.0,1178,1,1,0,0,0,0,0,0,2017-18,1
Dominic Solanke,Liverpool,38,FWD,1,2,3,0,0,4,0,0,0,0,2,50,5.0,581,1,4,0,0,0,0,0,0,2017-18,0
Mason Holgate,Everton,37,DEF,0,0,4,3,0,14,0,0,0,0,0,45,13.0,1183,1,3,0,0,0,0,0,0,2017-18,0
James Collins,West Ham,36,DEF,1,0,3,3,0,19,0,0,0,0,3,45,11.0,1049,1,2,0,0,0,0,0,0,2017-18,0
Lys Mousset,Bournemouth,36,FWD,2,0,1,1,0,16,0,0,0,0,3,50,3.0,581,1,2,0,0,0,0,0,0,2017-18,0
Andy Carroll,West Ham,36,FWD,3,1,3,5,1,13,0,0,0,0,6,60,7.0,742,1,2,0,0,0,0,0,0,2017-18,0
Julian Speroni,Crystal Palace,36,GK,0,0,2,0,0,14,0,0,0,30,3,40,11.0,990,1,2,0,0,0,0,0,0,2017-18,0
Bakary Sako,Crystal Palace,36,MID,3,0,1,0,0,10,0,0,0,0,1,50,3.0,466,1,2,0,0,0,0,0,0,2017-18,0
Aymeric Laporte,Man City,35,DEF,0,0,4,1,0,5,0,0,0,0,2,55,9.0,806,25,4,0,0,0,0,0,0,2017-18,0
Ashley Westwood,Burnley,35,MID,0,1,2,2,0,17,0,0,0,0,1,45,11.0,1105,1,2,0,0,0,0,0,0,2017-18,0
Yannick Bolasie,Everton,35,MID,1,1,3,0,0,14,0,0,0,0,0,65,6.0,848,1,3,0,0,0,0,0,0,2017-18,0
Martin Kelly,Crystal Palace,34,DEF,0,0,4,1,0,21,1,0,0,0,1,45,12.0,1193,1,2,0,0,0,0,0,0,2017-18,0
Jose Fonte,West Ham,34,DEF,0,2,3,0,0,11,0,0,0,0,3,50,8.0,688,1,2,0,0,0,0,0,0,2017-18,0
Karl Darlow,Newcastle,33,GK,0,0,2,0,0,15,1,0,0,35,2,45,10.0,900,1,1,0,0,0,0,0,0,2017-18,1
Phil Bardsley,Burnley,33,DEF,0,0,4,5,0,13,0,0,0,0,0,45,12.0,1125,1,2,0,0,0,0,0,0,2017-18,0
Wilfried Bony,Swansea,33,FWD,2,1,2,2,0,8,0,0,0,0,3,60,6.0,701,4,2,0,0,0,0,0,0,2017-18,0
Geoff Cameron,Stoke,33,DEF,0,0,2,2,0,30,0,0,0,0,0,45,16.0,1522,1,2,0,0,0,0,0,0,2017-18,0
David Luiz Moreira Marinho,Chelsea,32,DEF,1,2,3,3,1,13,0,0,0,0,0,60,9.0,838,1,5,0,0,0,0,0,0,2017-18,0
Victor Wanyama,Spurs,32,MID,1,0,2,2,0,11,0,0,0,0,1,50,7.0,837,1,1,0,0,0,0,0,0,2017-18,0
