name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Nathan Collins,Brentford,80,DEF,1,0,7,3,0,47,0,0,0,0,8,45,3,1100,1100,1110,1055,1090,1150,2023-24,0
Micky van de Ven,Spurs,79,DEF,3,0,5,5,0,37,0,0,0,0,10,45,4,1170,1230,1110,1150,1230,1310,2023-24,0
Destiny Udogie,Spurs,79,DEF,2,3,5,5,1,43,0,0,0,0,8,45,4,1170,1230,1110,1150,1230,1310,2023-24,0
Adam Smith,Bournemouth,77,DEF,0,3,8,5,0,31,0,0,0,0,4,45,3,1100,1100,1055,1130,1145,1075,2023-24,0
Kobbie Mainoo,Man Utd,76,MID,3,1,7,3,0,31,0,0,0,0,8,45,3,1125,1220,1130,1210,1120,1230,2023-24,0
Kurt Zouma,West Ham,76,DEF,3,0,3,3,0,58,0,0,0,0,6,45,3,1100,1145,1055,1140,1150,1150,2023-24,0
Ethan Pinnock,Brentford,76,DEF,2,0,5,1,0,46,0,0,0,0,5,45,3,1100,1100,1110,1055,1090,1150,2023-24,0
Lewis Cook,Bournemouth,75,MID,0,3,8,5,1,50,0,0,0,0,5,50,3,1100,1100,1055,1130,1145,1075,2023-24,0
Chiedozie Ogbene,Luton,75,FWD,4,4,2,1,0,41,0,0,0,0,7,50,2,1055,1090,1020,1060,1090,1120,2023-24,1
Enzo Fernández,Chelsea,75,MID,3,3,5,7,0,46,0,1,0,0,4,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Elijah Adebayo,Luton,74,FWD,8,1,2,0,0,31,0,0,0,0,7,50,2,1055,1090,1020,1060,1090,1120,2023-24,1
Michail Antonio,West Ham,74,FWD,6,2,5,5,0,33,0,0,0,0,8,60,3,1100,1145,1055,1140,1150,1150,2023-24,0
Pablo Sarabia,Wolves,74,MID,2,5,6,2,0,21,0,0,0,0,6,50,3,1100,1100,1085,1105,1115,1100,2023-24,0
Ashley Young,Everton,74,DEF,0,1,9,5,0,30,1,0,0,0,3,45,3,1095,1100,1125,1125,1065,1080,2023-24,0
Martin Dubravka,Newcastle,74,GK,0,0,4,1,0,42,0,0,1,88,3,40,3,1105,1280,1050,1210,1160,1355,2023-24,0
Toti António Gomes,Wolves,74,DEF,1,3,4,7,0,46,0,0,0,0,6,45,3,1100,1100,1085,1105,1115,1100,2023-24,0
Lyle Foster,Burnley,73,FWD,5,3,2,0,1,43,0,0,0,0,4,50,2,1045,1050,1050,1050,1040,1050,2023-24,1
Lucas Digne,Aston Villa,73,DEF,0,4,6,6,0,41,0,0,0,0,5,45,4,1160,1285,1140,1220,1180,1350,2023-24,0
Christian Nørgaard,Brentford,72,MID,2,1,6,8,0,49,0,0,0,0,3,55,3,1100,1100,1110,1055,1090,1150,2023-24,0
Pape Matar Sarr,Spurs,72,MID,2,3,9,9,0,24,0,0,0,0,4,45,4,1170,1230,1110,1150,1230,1310,2023-24,0
João Victor Gomes da Silva,Wolves,72,MID,2,2,4,11,0,49,0,0,0,0,3,50,3,1100,1100,1085,1105,1115,1100,2023-24,0
Sergio Reguilón,Brentford,71,DEF,0,6,5,6,0,27,0,0,0,0,14,45,3,1100,1100,1110,1055,1090,1150,2023-24,0
Rayan Aït-Nouri,Wolves,71,DEF,2,3,3,7,0,38,0,0,0,0,6,45,3,1100,1100,1085,1105,1115,1100,2023-24,0
Sander Berge,Burnley,70,MID,1,2,2,8,1,67,0,0,0,0,3,50,2,1045,1050,1050,1050,1040,1050,2023-24,1
Cameron Archer,Sheffield Utd,70,FWD,4,2,2,1,0,43,0,0,0,0,9,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
Harry Maguire,Man Utd,70,DEF,2,4,4,2,0,24,0,0,0,0,6,45,3,1125,1220,1130,1210,1120,1230,2023-24,0
James Trafford,Burnley,70,GK,0,0,2,2,0,62,0,0,0,106,5,45,2,1045,1050,1050,1050,1040,1050,2023-24,1
Wes Foderingham,Sheffield Utd,69,GK,0,0,1,2,0,78,1,0,0,132,7,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
Zeki Amdouni,Burnley,69,FWD,4,1,5,1,0,34,0,0,0,0,9,55,2,1045,1050,1050,1050,1040,1050,2023-24,1
Craig Dawson,Wolves,69,DEF,1,1,6,7,0,38,0,0,0,0,6,45,3,1100,1100,1085,1105,1115,1100,2023-24,0
Dara O'Shea,Burnley,69,DEF,3,4,2,5,1,68,1,0,0,0,2,45,2,1045,1050,1050,1050,1040,1050,2023-24,1
Malo Gusto,Chelsea,69,DEF,0,6,5,5,1,24,0,0,0,0,10,40,3,1125,1190,1080,1150,1170,1230,2023-24,0
Axel Disasi,Chelsea,69,DEF,2,0,5,6,0,50,1,0,0,0,6,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Raúl Jiménez,Fulham,68,FWD,7,0,4,2,0,24,0,0,0,0,13,55,3,1055,1175,1050,1180,1060,1170,2023-24,0
Bart Verbruggen,Brighton,68,GK,0,0,4,3,0,28,0,0,0,65,7,45,3,1100,1210,1070,1180,1135,1240,2023-24,0
Sam Johnstone,Crystal Palace,68,GK,0,0,6,1,0,27,0,0,0,41,7,45,3,1070,1100,1080,1120,1060,1085,2023-24,0
Gabriel Fernando de Jesus,Arsenal,67,FWD,3,6,11,5,0,11,0,0,0,0,8,80,5,1350,1365,1370,1370,1330,1360,2023-24,0
Miguel Almirón Rejala,Newcastle,67,MID,3,1,5,1,0,33,0,0,0,0,4,65,3,1105,1280,1050,1210,1160,1355,2023-24,0
Andrew Robertson,Liverpool,66,DEF,3,0,3,2,0,19,0,0,0,0,8,65,4,1240,1370,1210,1350,1270,1390,2023-24,0
Joe Gomez,Liverpool,66,DEF,0,2,7,3,0,14,0,0,0,0,2,45,4,1240,1370,1210,1350,1270,1390,2023-24,0
Nélson Cabral Semedo,Wolves,66,DEF,0,2,5,10,0,60,0,0,0,0,0,45,3,1100,1100,1085,1105,1115,1100,2023-24,0
Vini de Souza Costa,Sheffield Utd,66,MID,1,1,1,3,0,72,0,0,0,0,4,50,2,1030,1040,1045,1020,1020,1060,2023-24,1
Josh Cullen,Burnley,64,MID,2,4,0,9,0,46,0,0,0,0,5,50,2,1045,1050,1050,1050,1040,1050,2023-24,1
Levi Colwill,Chelsea,64,DEF,1,1,5,0,0,24,0,0,0,0,4,45,3,1125,1190,1080,1150,1170,1230,2023-24,0
Tosin Adarabioyo,Fulham,64,DEF,2,0,6,2,0,25,0,0,0,0,2,45,3,1055,1175,1050,1180,1060,1170,2023-24,0
Marc Guéhi,Crystal Palace,64,DEF,0,1,6,1,0,31,0,0,0,0,6,45,3,1070,1100,1080,1120,1060,1085,2023-24,0
Idrissa Gueye,Everton,63,MID,3,0,7,5,0,18,0,0,0,0,8,50,3,1095,1100,1125,1125,1065,1080,2023-24,0
Mads Roerslev Rasmussen,Brentford,63,DEF,1,2,5,1,0,37,0,0,0,0,3,45,3,1100,1100,1110,1055,1090,1150,2023-24,0
Jefferson Lerma Solís,Crystal Palace,63,MID,1,1,5,8,0,46,0,0,0,0,4,50,3,1070,1100,1080,1120,1060,1085,2023-24,0
James McAtee,Sheffield Utd,62,MID,3,3,2,2,0,46,0,0,0,0,0,45,2,1030,1040,1045,1020,1020,1060,2023-24,1
