name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Bukayo Saka,Arsenal,114,MID,5,5,8,1,0,31,1,0,0,0,8,55,28.0,2554,4,1200,1250,1130,1150,1220,1210,2020-21,0
César Azpilicueta,Chelsea,113,DEF,1,2,13,5,1,20,0,0,0,0,12,60,22.0,2187,4,1250,1280,1260,1300,1250,1310,2020-21,0
Reece James,Chelsea,112,DEF,1,3,9,3,0,29,0,0,0,0,15,50,24.0,2367,4,1250,1280,1260,1300,1250,1310,2020-21,0
Kelechi Iheanacho,Leicester,110,FWD,12,2,5,1,0,23,0,1,0,0,18,60,13.0,1452,4,1240,1260,1190,1150,1150,1230,2020-21,0
Ezgjan Alioski,Leeds,110,DEF,2,3,10,7,0,35,0,0,0,0,7,45,24.0,2456,3,1160,1170,1060,1150,1210,1170,2020-21,1
Jonny Evans,Leicester,109,DEF,2,2,10,7,0,31,1,0,0,0,12,55,27.0,2473,4,1240,1260,1190,1150,1150,1230,2020-21,0
Kurt Zouma,Chelsea,108,DEF,5,0,9,3,0,25,0,0,0,0,6,50,22.0,2027,4,1250,1280,1260,1300,1250,1310,2020-21,0
Pierre-Emile Højbjerg,Spurs,107,MID,2,4,12,9,0,45,0,0,0,0,6,50,36.0,3420,4,1190,1250,1130,1170,1250,1290,2020-21,0
Christian Benteke,Crystal Palace,106,FWD,10,2,5,1,1,34,0,0,0,0,14,55,18.0,1808,3,1090,1110,1030,1120,1010,1020,2020-21,0
Conor Coady,Wolves,106,DEF,1,0,10,5,0,51,0,0,0,0,7,50,36.0,3303,3,1080,1110,1120,1130,1040,1120,2020-21,0
Neal Maupay,Brighton,105,FWD,8,2,10,1,1,34,0,1,0,0,12,65,28.0,2508,3,1130,1130,1150,1190,1100,1130,2020-21,0
Rob Holding,Arsenal,105,DEF,0,1,11,2,0,26,1,0,0,0,10,45,27.0,2557,4,1200,1250,1130,1150,1220,1210,2020-21,0
Rúben Diogo da Silva Neves,Wolves,104,MID,5,1,8,8,0,42,0,0,0,0,10,55,28.0,2670,3,1080,1110,1120,1130,1040,1120,2020-21,0
Ben White,Brighton,104,DEF,0,0,12,3,1,44,0,0,0,0,5,45,36.0,3192,3,1130,1130,1150,1190,1100,1130,2020-21,0
James Rodríguez,Everton,101,MID,6,5,5,4,0,27,0,0,0,0,11,75,21.0,1763,3,1250,1130,1130,1100,1200,1140,2020-21,0
James Justin,Leicester,101,DEF,2,2,9,4,0,25,0,0,0,0,13,45,22.0,2070,4,1240,1260,1190,1150,1150,1230,2020-21,0
David McGoldrick,Sheffield Utd,100,FWD,8,1,9,7,0,37,0,0,0,0,12,55,25.0,2391,2,1000,1040,1020,1070,1000,1010,2020-21,0
Luke Ayling,Leeds,100,DEF,0,0,12,7,0,54,0,0,0,0,2,45,37.0,3399,3,1160,1170,1060,1150,1210,1170,2020-21,1
Angelo Ogbonna,West Ham,100,DEF,3,0,9,5,0,34,0,0,0,0,5,50,27.0,2492,4,1230,1260,1140,1190,1260,1290,2020-21,0
Romain Saïss,Wolves,99,DEF,3,0,8,2,0,40,0,0,0,0,11,50,26.0,2407,3,1080,1110,1120,1130,1040,1120,2020-21,0
Mateusz Klich,Leeds,99,MID,4,5,8,6,0,44,0,0,0,0,3,55,24.0,2386,3,1160,1170,1060,1150,1210,1170,2020-21,1
Tanguy Ndombele,Spurs,99,MID,3,3,12,3,0,24,0,0,0,0,7,60,24.0,2086,4,1190,1250,1130,1170,1250,1290,2020-21,0
Georginio Wijnaldum,Liverpool,97,MID,2,1,10,1,0,39,0,0,0,0,3,55,31.0,2938,4,1250,1210,1190,1210,1300,1230,2020-21,0
