name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Demarai Gray,Leicester,1,MID,0,0,0,0,0,0,0,0,0,0,0,55,,18,4,1240,1260,1190,1150,1150,1230,2020-21,0
Denis Odoi,Fulham,1,DEF,0,0,0,1,0,10,0,0,0,0,0,45,3.0,270,3,1090,1100,1150,1110,1040,1060,2020-21,1
Maxime Le Marchand,Fulham,1,DEF,0,0,0,2,0,1,0,0,0,0,0,45,1.0,122,3,1090,1100,1150,1110,1040,1060,2020-21,1
Jean-Philippe Gbamin,Everton,1,MID,0,0,0,0,0,1,0,0,0,0,0,50,,11,3,1250,1130,1130,1100,1200,1140,2020-21,0
Rúben Gonçalo Silva Nascimento Vinagre,Wolves,1,DEF,0,0,0,0,0,7,0,0,0,0,0,45,2.0,172,3,1080,1110,1120,1130,1040,1120,2020-21,0
Willy Caballero,Chelsea,1,GK,0,0,0,0,0,3,0,0,0,0,0,50,1.0,90,4,1250,1280,1260,1300,1250,1310,2020-21,0
José Izquierdo,Brighton,1,MID,0,0,0,0,0,0,0,0,0,0,0,55,,8,3,1130,1130,1150,1190,1100,1130,2020-21,0
Sokratis Papastathopoulos,Arsenal,0,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
Stefan Johansen,Fulham,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Léo Bonatini,Wolves,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1080,1110,1120,1130,1040,1120,2020-21,0
Sofiane Boufal,Southampton,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,,0,3,1060,1100,1030,1110,1110,1160,2020-21,0
Anthony Knockaert,Fulham,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Harry Wilson,Liverpool,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,,0,4,1250,1210,1190,1210,1300,1230,2020-21,0
David Martin,West Ham,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,4,1230,1260,1140,1190,1260,1290,2020-21,0
Luke Freeman,Sheffield Utd,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,2,1000,1040,1020,1070,1000,1010,2020-21,0
Florian Lejeune,Newcastle,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Angus Gunn,Southampton,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1060,1100,1030,1110,1110,1160,2020-21,0
Kamil Miazek,Leeds,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Zeze Steven Sessegnon,Fulham,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Aaron Mooy,Brighton,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Kelland Watts,Newcastle,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Yoshinori Muto,Newcastle,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Adam Forshaw,Leeds,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Kenneth Zohore,West Brom,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,2,1050,1040,1040,1000,1050,1040,2020-21,1
Adrien Silva,Leicester,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1240,1260,1190,1150,1150,1230,2020-21,0
William Saliba,Arsenal,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
Wes Foderingham,Sheffield Utd,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1000,1040,1020,1070,1000,1010,2020-21,0
Juan Foyth,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Wayne Hennessey,Crystal Palace,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Kevin McDonald,Fulham,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Albian Ajeti,West Ham,0,FWD,0,0,0,0,0,0,0,0,0,0,0,55,,0,4,1230,1260,1140,1190,1260,1290,2020-21,0
Jack Wilshere,West Ham,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1230,1260,1140,1190,1260,1290,2020-21,0
Harvey Elliott,Liverpool,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1250,1210,1190,1210,1300,1230,2020-21,0
Alfie Mawson,Fulham,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Leonardo Campana,Wolves,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1080,1110,1120,1130,1040,1120,2020-21,0
Lucas Torreira,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
Simon Moore,Sheffield Utd,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1000,1040,1020,1070,1000,1010,2020-21,0
Barry Douglas,Leeds,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Fabricio Agosto Ramírez,Fulham,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Oliver Skipp,Spurs,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Cedric Kipre,West Brom,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1050,1040,1040,1000,1050,1040,2020-21,1
Paulo Gazzaniga,Spurs,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Jean Michaël Seri,Fulham,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Jordan Stevens,Leeds,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Christian Atsu,Newcastle,0,MID,0,0,0,0,0,0,0,0,0,0,0,55,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Max Meyer,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Fikayo Tomori,Chelsea,0,DEF,0,0,0,0,0,2,0,0,0,0,0,50,,45,4,1250,1280,1260,1300,1250,1310,2020-21,0
Joe Hart,Spurs,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Michael Hector,Fulham,0,DEF,0,0,0,2,0,10,0,0,0,0,0,45,2.0,262,3,1090,1100,1150,1110,1040,1060,2020-21,1
Oliver Casey,Leeds,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Jay-Roy Grot,Leeds,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1160,1170,1060,1150,1210,1170,2020-21,1
Jonas Lössl,Everton,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1250,1130,1130,1100,1200,1140,2020-21,0
Christian Walton,Brighton,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Jordan Hugill,West Ham,0,FWD,0,0,0,0,0,0,0,0,0,0,0,55,,0,4,1230,1260,1140,1190,1260,1290,2020-21,0
Filip Benkovic,Leicester,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1240,1260,1190,1150,1150,1230,2020-21,0
Cyrus Christie,Fulham,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Connor Wickham,Crystal Palace,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Nathan Ferguson,Crystal Palace,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Jonathan Leko,West Brom,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1050,1040,1040,1000,1050,1040,2020-21,1
Florin Andone,Brighton,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Cameron Carter-Vickers,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Matty James,Leicester,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1240,1260,1190,1150,1150,1230,2020-21,0
Shane Duffy,Brighton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Danny Ward,Leicester,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1240,1260,1190,1150,1150,1230,2020-21,0
Marcus Bettinelli,Fulham,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1100,1150,1110,1040,1060,2020-21,1
Glenn Murray,Brighton,0,FWD,0,0,0,0,0,0,0,0,0,0,0,50,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Sam Woods,Crystal Palace,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Mark Gillespie,Newcastle,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Josh Sims,Southampton,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1060,1100,1030,1110,1110,1160,2020-21,0
Ryan Sessegnon,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Martín Montoya,Brighton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Ryan Bennett,Wolves,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1080,1110,1120,1130,1040,1120,2020-21,0
Jarrad Branthwaite,Everton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1250,1130,1130,1100,1200,1140,2020-21,0
Matija Sarkic,Wolves,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1080,1110,1120,1130,1040,1120,2020-21,0
Matthew Clarke,Brighton,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Rolando Aarons,Newcastle,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,2,1050,1070,1050,1060,1030,1110,2020-21,0
Gedson Carvalho Fernandes,Spurs,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Jason Steele,Brighton,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,3,1130,1130,1150,1190,1100,1130,2020-21,0
Roberto Jimenez Gago,West Ham,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,,0,4,1230,1260,1140,1190,1260,1290,2020-21,0
Brandon Pierrick,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1090,1110,1030,1120,1010,1020,2020-21,0
Matt Macey,Arsenal,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
Bruno André Cavaco Jordao,Wolves,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,,0,3,1080,1110,1120,1130,1040,1120,2020-21,0
Danny Rose,Spurs,0,DEF,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1190,1250,1130,1170,1250,1290,2020-21,0
Matteo Guendouzi,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
Mesut Özil,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,70,,0,4,1200,1250,1130,1150,1220,1210,2020-21,0
