name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Joel Ward,Crystal Palace,86,DEF,0,1,7,7,0,63,0,0,0,0,7,50,37.0,2,0,0,0,0,0,0,2016-17,0
Gnegneri Yaya Touré,Man City,86,MID,5,0,12,4,0,17,0,0,0,0,6,80,20.0,4,0,0,0,0,0,0,2016-17,0
Granit Xhaka,Arsenal,85,MID,2,3,10,5,2,32,0,0,0,0,7,55,26.0,4,0,0,0,0,0,0,2016-17,0
Danny Simpson,Leicester,85,DEF,0,3,9,12,0,50,0,0,0,0,4,50,32.0,5,0,0,0,0,0,0,2016-17,0
James Morrison,West Brom,84,MID,5,2,4,3,0,22,0,0,0,0,4,50,17.0,2,0,0,0,0,0,0,2016-17,0
Harry Arter,Bournemouth,84,MID,1,4,9,11,1,62,0,1,0,0,6,50,33.0,2,0,0,0,0,0,0,2016-17,0
Danny Rose,Spurs,84,DEF,2,3,8,8,0,11,0,0,0,0,6,60,17.0,1,0,0,0,0,0,0,2016-17,0
Alex Oxlade-Chamberlain,Arsenal,83,MID,2,7,4,1,0,22,0,0,0,0,3,60,17.0,4,0,0,0,0,0,0,2016-17,0
Calum Chambers,Middlesbrough,83,DEF,2,1,7,4,0,37,0,0,0,0,7,45,24.0,1,0,0,0,0,0,0,2016-17,1
N'Golo Kanté,Chelsea,83,MID,1,1,13,9,0,33,0,0,0,0,1,50,35.0,3,0,0,0,0,0,0,2016-17,0
Kyle Naughton,Swansea,82,DEF,1,0,8,5,0,48,1,0,0,0,7,45,30.0,2,0,0,0,0,0,0,2016-17,0
Ashley Barnes,Burnley,81,FWD,6,3,6,6,1,27,0,0,0,0,10,45,19.0,1,0,0,0,0,0,0,2016-17,1
Dimitri Payet,West Ham,81,MID,2,8,4,2,0,28,0,0,0,0,10,95,17.0,3,0,0,0,0,0,0,2016-17,0
Xherdan Shaqiri,Stoke,80,MID,4,2,8,2,0,21,0,0,0,0,8,65,17.0,2,0,0,0,0,0,0,2016-17,0
Idrissa Gueye,Everton,80,MID,1,2,9,11,0,31,0,0,0,0,9,50,29.0,2,0,0,0,0,0,0,2016-17,0
Oriol Romeu Vidal,Southampton,80,MID,1,0,13,11,0,42,0,0,0,0,4,45,32.0,3,0,0,0,0,0,0,2016-17,0
Peter Crouch,Stoke,79,FWD,7,3,4,3,0,23,0,0,0,0,7,50,11.0,2,0,0,0,0,0,0,2016-17,0
Jonny Evans,West Brom,79,DEF,2,1,4,8,0,39,0,0,0,0,7,45,27.0,2,0,0,0,0,0,0,2016-17,0
Cheikhou Kouyaté,West Ham,79,MID,1,1,9,3,0,46,0,0,0,0,3,55,31.0,3,0,0,0,0,0,0,2016-17,0
Maya Yoshida,Southampton,78,DEF,1,1,7,2,0,32,0,0,0,0,8,45,21.0,3,0,0,0,0,0,0,2016-17,0
Fernando Luiz Rosa,Man City,78,MID,2,1,10,4,2,27,0,0,0,0,3,55,28.0,4,0,0,0,0,0,0,2016-17,0
Marcos Rojo,Man Utd,77,DEF,1,0,8,5,0,13,0,0,0,0,7,55,17.0,4,0,0,0,0,0,0,2016-17,0
Adam Forshaw,Middlesbrough,77,MID,0,2,9,4,0,36,0,0,0,0,3,45,27.0,1,0,0,0,0,0,0,2016-17,1
Steven Davis,Southampton,77,MID,0,3,10,3,0,37,0,0,0,0,0,55,28.0,3,0,0,0,0,0,0,2016-17,0
Jake Livermore,West Brom,77,MID,1,1,4,5,1,62,0,0,0,0,2,50,32.0,2,0,0,0,0,0,0,2016-17,0
Stewart Downing,Middlesbrough,77,MID,1,3,7,1,0,39,0,0,0,0,3,55,23.0,1,0,0,0,0,0,0,2016-17,1
Mousa Dembélé,Spurs,76,MID,1,2,11,5,0,17,0,0,0,0,6,55,23.0,1,0,0,0,0,0,0,2016-17,0
Wayne Rooney,Man Utd,76,FWD,5,5,6,8,0,16,0,0,0,0,9,90,14.0,4,0,0,0,0,0,0,2016-17,0
Marcus Rashford,Man Utd,76,FWD,5,3,7,3,0,15,0,0,0,0,2,70,16.0,4,0,0,0,0,0,0,2016-17,0
James Tomkins,Crystal Palace,75,DEF,3,0,6,4,0,36,0,0,0,0,5,50,21.0,2,0,0,0,0,0,0,2016-17,0
Virgil van Dijk,Southampton,75,DEF,1,0,7,3,1,23,0,0,0,0,14,55,20.0,3,0,0,0,0,0,0,2016-17,0
Wayne Routledge,Swansea,74,MID,3,2,5,1,0,42,0,0,0,0,2,50,20.0,2,0,0,0,0,0,0,2016-17,0
Allan-Roméo Nyom,West Brom,74,DEF,0,2,5,8,0,39,0,0,0,0,6,45,27.0,2,0,0,0,0,0,0,2016-17,0
Jordan Henderson,Liverpool,73,MID,1,4,7,8,0,28,0,0,0,0,9,65,24.0,4,0,0,0,0,0,0,2016-17,0
Andrew Robertson,Hull,73,DEF,1,2,5,5,0,59,0,0,0,0,4,45,30.0,1,0,0,0,0,0,0,2016-17,1
Jay Rodriguez,Southampton,73,MID,5,2,3,0,0,15,0,0,0,0,8,65,7.0,3,0,0,0,0,0,0,2016-17,0
Henrikh Mkhitaryan,Man Utd,73,MID,4,1,10,1,0,8,0,0,0,0,3,95,13.0,4,0,0,0,0,0,0,2016-17,0
Jonathan Walters,Stoke,72,MID,4,3,6,1,0,22,0,0,0,0,3,60,12.0,2,0,0,0,0,0,0,2016-17,0
Abel Hernández,Hull,72,FWD,4,4,4,0,0,23,0,0,0,0,6,60,14.0,1,0,0,0,0,0,0,2016-17,1
Antonio Barragán,Middlesbrough,71,DEF,0,0,7,5,0,32,0,0,0,0,8,45,24.0,1,0,0,0,0,0,0,2016-17,1
Harry Maguire,Hull,71,DEF,2,3,4,5,0,53,0,0,0,0,5,45,24.0,1,0,0,0,0,0,0,2016-17,1
Miguel Britos,Watford,71,DEF,1,2,6,6,2,36,0,0,0,0,8,45,25.0,2,0,0,0,0,0,0,2016-17,0
Mark Noble,West Ham,71,MID,3,0,8,10,0,40,0,1,0,0,5,65,25.0,3,0,0,0,0,0,0,2016-17,0
Adam Clayton,Middlesbrough,70,MID,0,2,10,10,0,45,0,0,0,0,0,45,29.0,1,0,0,0,0,0,0,2016-17,1
Matteo Darmian,Man Utd,70,DEF,0,0,9,3,0,8,0,0,0,0,6,55,13.0,4,0,0,0,0,0,0,2016-17,0
James Collins,West Ham,69,DEF,2,0,6,3,0,29,0,0,0,0,7,45,18.0,3,0,0,0,0,0,0,2016-17,0
Ramiro Funes Mori,Everton,69,DEF,0,1,7,0,0,19,0,0,0,0,4,50,16.0,2,0,0,0,0,0,0,2016-17,0
Darren Randolph,West Ham,69,GK,0,0,4,1,0,39,0,0,1,64,5,45,22.0,3,0,0,0,0,0,0,2016-17,0
Andy Carroll,West Ham,69,FWD,7,2,3,3,0,27,0,0,0,0,6,65,14.0,3,0,0,0,0,0,0,2016-17,0
Scott Arfield,Burnley,69,MID,1,2,6,3,0,36,0,0,0,0,3,55,21.0,1,0,0,0,0,0,0,2016-17,1
Daniel Drinkwater,Leicester,69,MID,1,1,8,6,0,44,0,0,0,0,3,55,27.0,5,0,0,0,0,0,0,2016-17,0
Lamine Koné,Sunderland,69,DEF,1,0,5,4,0,46,0,0,0,0,5,45,27.0,2,0,0,0,0,0,0,2016-17,0
Gareth Barry,Everton,68,MID,2,1,7,10,0,28,0,0,0,0,3,45,22.0,2,0,0,0,0,0,0,2016-17,0
Maarten Stekelenburg,Everton,68,GK,0,0,4,2,0,24,1,0,2,43,3,50,19.0,2,0,0,0,0,0,0,2016-17,0
Sebastian Prödl,Watford,67,DEF,1,2,5,10,1,49,0,0,0,0,3,45,29.0,2,0,0,0,0,0,0,2016-17,0
Nordin Amrabat,Watford,65,MID,0,3,4,4,0,51,0,0,0,0,5,50,22.0,2,0,0,0,0,0,0,2016-17,0
Willy Caballero,Man City,64,GK,0,0,6,0,0,13,0,0,1,31,1,50,14.0,4,0,0,0,0,0,0,2016-17,0
Adrián San Miguel del Castillo,West Ham,64,GK,0,0,6,1,0,25,0,0,0,53,6,50,16.0,3,0,0,0,0,0,0,2016-17,0
Marc Pugh,Bournemouth,64,MID,2,3,5,1,0,24,0,0,0,0,6,50,14.0,2,0,0,0,0,0,0,2016-17,0
Federico Fernández,Swansea,63,DEF,0,1,6,7,0,41,0,0,0,0,4,45,27.0,2,0,0,0,0,0,0,2016-17,0
Shinji Okazaki,Leicester,63,FWD,3,1,7,1,0,26,0,0,0,0,3,60,16.0,5,0,0,0,0,0,0,2016-17,0
Wes Morgan,Leicester,63,DEF,1,1,5,3,0,45,0,0,0,0,0,50,27.0,5,0,0,0,0,0,0,2016-17,0
Tom Davies,Everton,63,MID,2,3,8,4,0,17,0,0,0,0,0,45,16.0,2,0,0,0,0,0,0,2016-17,0
Callum Wilson,Bournemouth,63,FWD,6,1,6,0,0,25,0,0,0,0,2,65,14.0,2,0,0,0,0,0,0,2016-17,0
Ahmed Elmohamady,Hull,62,MID,0,2,3,3,1,63,1,0,0,0,1,50,27.0,1,0,0,0,0,0,0,2016-17,1
Glenn Whelan,Stoke,62,MID,0,1,7,5,0,40,1,0,0,0,3,45,26.0,2,0,0,0,0,0,0,2016-17,0
Tom Huddlestone,Hull,62,MID,1,2,4,5,1,47,1,0,0,0,5,50,21.0,1,0,0,0,0,0,0,2016-17,1
Charlie Austin,Southampton,62,FWD,6,1,6,1,0,8,0,0,0,0,10,65,11.0,3,0,0,0,0,0,0,2016-17,0
Scott Dann,Crystal Palace,61,DEF,3,1,2,2,0,36,0,0,0,0,4,55,19.0,2,0,0,0,0,0,0,2016-17,0
Jack Wilshere,Bournemouth,61,MID,0,3,5,4,0,45,0,0,0,0,2,60,20.0,2,0,0,0,0,0,0,2016-17,0
Jack Stephens,Southampton,60,DEF,0,1,6,1,0,24,0,0,0,0,10,40,15.0,3,0,0,0,0,0,0,2016-17,0
Jesse Lingard,Man Utd,60,MID,1,3,7,3,0,12,0,0,0,0,3,60,13.0,4,0,0,0,0,0,0,2016-17,0
Aaron Cresswell,West Ham,60,DEF,0,2,5,2,1,35,0,0,0,0,1,55,23.0,3,0,0,0,0,0,0,2016-17,0
Charlie Adam,Stoke,59,MID,1,4,6,7,0,23,0,0,0,0,5,50,14.0,2,0,0,0,0,0,0,2016-17,0
George Friend,Middlesbrough,59,DEF,0,3,4,4,0,35,0,0,0,0,6,45,20.0,1,0,0,0,0,0,0,2016-17,1
John Stones,Man City,59,DEF,0,0,4,1,0,29,0,0,0,0,4,50,21.0,4,0,0,0,0,0,0,2016-17,0
Gastón Ramírez,Middlesbrough,59,MID,2,3,6,8,1,22,0,0,0,0,6,55,15.0,1,0,0,0,0,0,0,2016-17,1
Demarai Gray,Leicester,58,MID,1,4,4,2,0,20,0,0,0,0,0,50,8.0,5,0,0,0,0,0,0,2016-17,0
Geoff Cameron,Stoke,58,DEF,0,1,6,1,0,25,0,0,0,0,5,45,17.0,2,0,0,0,0,0,0,2016-17,0
Vincent Kompany,Man City,57,DEF,3,0,5,5,0,6,0,0,0,0,6,60,8.0,4,0,0,0,0,0,0,2016-17,0
Shane Long,Southampton,57,FWD,3,2,2,2,0,23,0,1,0,0,2,65,9.0,3,0,0,0,0,0,0,2016-17,0
Younes Kaboul,Watford,57,DEF,2,0,4,2,0,36,0,0,0,0,1,45,21.0,2,0,0,0,0,0,0,2016-17,0
Billy Jones,Sunderland,56,DEF,1,0,5,8,0,49,0,0,0,0,6,45,23.0,2,0,0,0,0,0,0,2016-17,0
Jason Denayer,Sunderland,56,DEF,0,0,6,2,0,30,1,0,0,0,2,50,20.0,2,0,0,0,0,0,0,2016-17,0
