name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Sead Kolasinac,Arsenal,0,DEF,0,0,0,1,0,5,0,0,0,0,0,45,4,1250,1270,1150,1210,1190,1220,2021-22
Scott Banks,Crystal Palace,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,3,1090,1100,1110,1160,1080,1160,2021-22
Dennis Praet,Leicester,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,3,1090,1200,1100,1080,1150,1160,2021-22
Samuel Edozie,Man City,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,5,1350,1370,1340,1360,1340,1360,2021-22
Dean Henderson,Man Utd,0,GK,0,0,0,0,0,0,0,0,0,0,0,50,4,1210,1270,1170,1190,1190,1200,2021-22
Darren Randolph,West Ham,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,3,1130,1190,1110,1150,1160,1180,2021-22
Rúnar Alex Rúnarsson,Arsenal,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,4,1250,1270,1150,1210,1190,1220,2021-22
Kjell Scherpen,Brighton,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,3,1100,1090,1160,1160,1100,1120,2021-22
Konstantinos Mavropanos,Arsenal,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,4,1250,1270,1150,1210,1190,1220,2021-22
Rui Pedro dos Santos Patrício,Wolves,0,GK,0,0,0,0,0,0,0,0,0,0,0,50,3,1200,1170,1150,1160,1080,1100,2021-22
Daniel N'Lundulu,Southampton,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,3,1080,1110,1090,1140,1120,1090,2021-22
Kwadwo Baah,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1030,1090,1040,1120,1070,2021-22
Lewis Richardson,Burnley,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1060,1080,1130,1060,1100,2021-22
Lucas Torreira,Arsenal,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,4,1250,1270,1150,1210,1190,1220,2021-22
Robert Street,Crystal Palace,0,FWD,0,0,0,0,0,0,0,0,0,0,0,45,3,1090,1100,1110,1160,1080,1160,2021-22
Ayotomiwa Dele-Bashiru,Watford,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1030,1090,1040,1120,1070,2021-22
Marc Navarro,Watford,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,2,1060,1030,1090,1040,1120,1070,2021-22
Marco Stiepermann,Norwich,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,2,1030,1040,1040,1040,1040,1030,2021-22
Rhys Williams,Liverpool,0,DEF,0,0,0,0,0,0,0,0,0,0,0,45,5,1340,1360,1300,1350,1340,1350,2021-22
Bailey Peacock-Farrell,Burnley,0,GK,0,0,0,0,0,0,0,0,0,0,0,45,2,1060,1060,1080,1130,1060,1100,2021-22
Reece Hannam,Crystal Palace,0,DEF,0,0,0,0,0,0,0,0,0,0,0,40,3,1090,1100,1110,1160,1080,1160,2021-22
Bali Mumba,Norwich,0,DEF,0,0,0,0,0,3,0,0,0,0,0,40,2,1030,1040,1040,1040,1040,1030,2021-22
Conor Hourihane,Aston Villa,0,MID,0,0,0,0,0,0,0,0,0,0,0,50,3,1100,1100,1140,1110,1090,1090,2021-22
Mark Gillespie,Newcastle,0,GK,0,0,0,0,0,0,0,0,0,0,0,40,3,1090,1170,1050,1030,1040,1070,2021-22
Davy Pröpper,Brighton,0,MID,0,0,0,0,0,0,0,0,0,0,0,45,3,1100,1090,1160,1160,1100,1120,2021-22
