name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship,season_start,name_season
Laurent Koscielny,Arsenal,121,DEF,2,1,10,4,1,37,0,0,0,0,19,60,31.0,2821,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Laurent Koscielny (2016-17)
Ben Gibson,Middlesbrough,121,DEF,1,1,11,4,0,53,0,0,0,0,14,45,37.0,3420,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Ben Gibson (2016-17)
Sam Vokes,Burnley,121,FWD,10,4,5,0,0,34,0,0,0,0,12,60,20.0,2064,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Sam Vokes (2016-17)
Antonio Valencia,Man Utd,120,DEF,1,3,12,5,0,20,0,0,0,0,9,55,28.0,2483,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Antonio Valencia (2016-17)
Toby Alderweireld,Spurs,120,DEF,1,0,14,1,0,17,0,0,0,0,4,65,27.0,2601,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Toby Alderweireld (2016-17)
Riyad Mahrez,Leicester,120,MID,6,4,9,4,0,48,0,2,0,0,9,95,31.0,2826,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Riyad Mahrez (2016-17)
Artur Boruc,Bournemouth,120,GK,0,0,9,2,0,63,0,0,2,115,7,45,35.0,3150,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Artur Boruc (2016-17)
Kevin Mirallas,Everton,119,MID,4,8,11,2,0,26,0,0,0,0,8,65,23.0,2074,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kevin Mirallas (2016-17)
Héctor Bellerín,Arsenal,119,DEF,1,5,10,4,0,34,0,0,0,0,12,65,26.0,2503,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Héctor Bellerín (2016-17)
Joe Allen,Stoke,118,MID,6,3,10,9,0,49,0,0,0,0,10,50,31.0,2930,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Joe Allen (2016-17)
Salomón Rondón,West Brom,118,FWD,8,3,6,2,0,44,0,0,0,0,10,65,30.0,2892,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Salomón Rondón (2016-17)
Marko Arnautovic,Stoke,117,MID,6,7,9,9,1,43,0,1,0,0,8,75,31.0,2713,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Marko Arnautovic (2016-17)
Lukasz Fabianski,Swansea,116,GK,0,0,8,1,0,69,0,0,1,117,8,50,37.0,3330,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Lukasz Fabianski (2016-17)
Olivier Giroud,Arsenal,116,FWD,12,5,4,2,0,16,0,0,0,0,17,90,8.0,1206,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Olivier Giroud (2016-17)
Andros Townsend,Crystal Palace,116,MID,3,7,7,4,0,38,0,0,0,0,16,65,24.0,2520,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Andros Townsend (2016-17)
Matt Phillips,West Brom,115,MID,4,9,6,2,0,28,0,0,0,0,12,55,25.0,2181,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Matt Phillips (2016-17)
Paul Pogba,Man Utd,115,MID,5,4,13,7,0,21,0,0,0,0,14,85,28.0,2608,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Paul Pogba (2016-17)
Nacho Monreal,Arsenal,115,DEF,0,3,11,5,0,43,0,0,0,0,9,60,33.0,3153,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nacho Monreal (2016-17)
Willian Borges Da Silva,Chelsea,114,MID,8,3,6,3,0,19,0,0,0,0,13,75,15.0,1534,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Willian Borges Da Silva (2016-17)
Michael Keane,Burnley,113,DEF,2,1,10,4,0,49,0,0,0,0,10,50,35.0,3150,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Michael Keane (2016-17)
Ben Foster,West Brom,113,GK,0,0,6,2,0,51,0,0,0,115,4,45,37.0,3420,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Ben Foster (2016-17)
Heurelho Gomes,Watford,113,GK,0,0,7,1,0,64,1,0,1,117,6,50,36.0,3337,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Heurelho Gomes (2016-17)
Steve Cook,Bournemouth,112,DEF,2,0,10,5,0,67,1,0,0,0,17,50,38.0,3420,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Steve Cook (2016-17)
Simon Mignolet,Liverpool,110,GK,0,0,9,0,0,30,0,0,2,52,7,50,28.0,2520,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Simon Mignolet (2016-17)
Nacer Chadli,West Brom,110,MID,5,6,6,2,0,32,0,0,0,0,8,65,23.0,2135,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nacer Chadli (2016-17)
Kasper Schmeichel,Leicester,109,GK,0,0,8,1,0,47,0,0,0,113,10,50,28.0,2666,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Kasper Schmeichel (2016-17)
Andre Gray,Burnley,108,FWD,9,3,8,2,0,33,0,0,0,0,10,65,23.0,2260,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,1,2016,Andre Gray (2016-17)
Dusan Tadic,Southampton,108,MID,3,7,13,4,0,29,0,1,0,0,4,75,27.0,2411,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Dusan Tadic (2016-17)
Junior Stanislas,Bournemouth,107,MID,7,6,4,1,0,29,0,0,0,0,13,55,16.0,1467,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Junior Stanislas (2016-17)
Dejan Lovren,Liverpool,106,DEF,2,1,11,6,0,31,0,0,0,0,6,50,28.0,2553,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Dejan Lovren (2016-17)
Bruno Martins Indi,Stoke,106,DEF,1,0,11,4,0,50,0,0,0,0,9,50,34.0,3146,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Bruno Martins Indi (2016-17)
Lee Grant,Stoke,106,GK,0,0,9,1,0,34,0,0,0,91,9,40,27.0,2520,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Lee Grant (2016-17)
Leroy Sané,Man City,105,MID,5,7,9,4,0,15,0,0,0,0,8,80,18.0,1781,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Leroy Sané (2016-17)
Victor Moses,Chelsea,105,MID,3,3,17,4,0,15,0,0,0,0,6,55,28.0,2485,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Victor Moses (2016-17)
Eric Bailly,Man Utd,105,DEF,0,0,13,4,0,15,0,0,0,0,14,55,19.0,2058,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Eric Bailly (2016-17)
Nemanja Matic,Chelsea,105,MID,1,8,15,4,0,24,0,0,0,0,1,50,29.0,2694,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Nemanja Matic (2016-17)
Adam Smith,Bournemouth,104,DEF,1,5,8,6,0,61,1,0,0,0,12,45,34.0,3101,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Adam Smith (2016-17)
Emre Can,Liverpool,104,MID,5,2,9,6,0,28,0,0,0,0,12,50,26.0,2371,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Emre Can (2016-17)
Phil Jagielka,Everton,104,DEF,3,3,6,4,1,32,0,0,0,0,16,50,25.0,2251,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Phil Jagielka (2016-17)
Christian Fuchs,Leicester,104,DEF,2,4,8,10,0,57,0,0,0,0,10,55,33.0,3103,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Christian Fuchs (2016-17)
Victor Wanyama,Spurs,103,MID,4,2,12,10,0,25,0,0,0,0,7,50,31.0,3012,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Victor Wanyama (2016-17)
Darren Fletcher,West Brom,103,MID,2,3,8,0,0,45,0,0,0,0,2,45,35.0,3231,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Darren Fletcher (2016-17)
Erik Pieters,Stoke,103,DEF,0,2,10,5,0,50,0,0,0,0,9,45,34.0,3151,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Erik Pieters (2016-17)
Craig Dawson,West Brom,102,DEF,4,0,6,10,0,50,0,0,0,0,6,50,35.0,3276,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Craig Dawson (2016-17)
Cédric Soares,Southampton,102,DEF,0,3,11,7,0,36,0,0,0,0,11,50,27.0,2515,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,0,2016,Cédric Soares (2016-17)
