Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Jack Rodwell,MID,2018-19,1,2019-20,1.0,0.0,0.0,45.0,Jack Rodwell (2019-20),Rodwell: 19-20,Blackburn Rovers,Sheffield Utd
Ollie Watkins,FWD,2019-20,25,2020-21,168.0,14.0,9.0,60.0,Ollie Watkins (2020-21),Watkins: 20-21,Brentford,Aston Villa
Karlan Grant,FWD,2019-20,19,2020-21,41.0,1.0,0.0,60.0,Karlan Grant (2020-21),Grant: 20-21,Huddersfield,West Brom
Saïd Benrahma,MID,2019-20,17,2020-21,73.0,1.0,6.0,60.0,Saïd Benrahma (2020-21),Benrahma: 20-21,Brentford,West Ham
Eberechi Eze,MID,2019-20,14,2020-21,125.0,4.0,8.0,60.0,Eberechi Eze (2020-21),Eze: 20-21,Queens Park Rangers,Crystal Palace
Rhian Brewster,FWD,2019-20,10,2020-21,34.0,0.0,0.0,45.0,Rhian Brewster (2020-21),Brewster: 20-21,Swansea City,Sheffield Utd
Conor Gallagher,MID,2019-20,6,2020-21,71.0,2.0,2.0,55.0,Conor Gallagher (2020-21),Gallagher: 20-21,Swansea City,West Brom
Tosin Adarabioyo,DEF,2019-20,3,2020-21,100.0,0.0,1.0,45.0,Tosin Adarabioyo (2020-21),Adarabioyo: 20-21,Blackburn Rovers,Fulham
Jayden Bogle,DEF,2019-20,1,2020-21,39.0,2.0,0.0,45.0,Jayden Bogle (2020-21),Bogle: 20-21,Derby County,Sheffield Utd
Nathan Ferguson,DEF,2019-20,1,2020-21,0.0,0.0,0.0,40.0,Nathan Ferguson (2020-21),Ferguson: 20-21,West Brom,Crystal Palace
Joe Gelhardt,FWD,2019-20,1,2020-21,0.0,0.0,0.0,45.0,Joe Gelhardt (2020-21),Gelhardt: 20-21,Wigan Athletic,Leeds
Antonee Robinson,DEF,2019-20,1,2020-21,57.0,0.0,0.0,45.0,Antonee Robinson (2020-21),Robinson: 20-21,Wigan Athletic,Fulham
Adam Armstrong,FWD,2020-21,28,2021-22,57.0,2.0,3.0,60.0,Adam Armstrong (2021-22),Armstrong: 21-22,Blackburn Rovers,Southampton
Michael Olise,MID,2020-21,7,2021-22,73.0,2.0,6.0,55.0,Michael Olise (2021-22),Olise: 21-22,Reading FC,Crystal Palace
Connor Roberts,DEF,2020-21,5,2021-22,69.0,1.0,1.0,45.0,Connor Roberts (2021-22),Roberts: 21-22,Swansea City,Burnley
Kiernan Dewsbury-Hall,MID,2020-21,3,2021-22,70.0,1.0,2.0,45.0,Kiernan Dewsbury-Hall (2021-22),Dewsbury-Hall: 21-22,Luton,Leicester
Nathan Collins,DEF,2020-21,2,2021-22,55.0,2.0,0.0,45.0,Nathan Collins (2021-22),Collins: 21-22,Stoke City,Burnley
Ashley Fletcher,FWD,2020-21,2,2021-22,3.0,0.0,0.0,50.0,Ashley Fletcher (2021-22),Fletcher: 21-22,Middlesbrough,Watford
Will Hughes,MID,2020-21,2,2021-22,34.0,0.0,2.0,50.0,Will Hughes (2021-22),Hughes: 21-22,Watford,Crystal Palace
Keane Lewis-Potter,MID,2021-22,12,2022-23,14.0,0.0,1.0,55.0,Keane Lewis-Potter (2022-23),Lewis-Potter: 22-23,Hull,Brentford
Morgan Gibbs-White,MID,2021-22,11,2022-23,145.0,5.0,12.0,55.0,Morgan Gibbs-White (2022-23),Gibbs-White: 22-23,Sheffield Utd,Nott'm Forest
Kieffer Moore,FWD,2021-22,9,2022-23,57.0,4.0,0.0,55.0,Kieffer Moore (2022-23),Moore: 22-23,Cardiff,Bournemouth
Sam Surridge,FWD,2021-22,9,2022-23,26.0,1.0,0.0,50.0,Sam Surridge (2022-23),Surridge: 22-23,Stoke City,Nott'm Forest
Antoine Semenyo,FWD,2021-22,8,2022-23,18.0,1.0,0.0,50.0,Antoine Semenyo (2022-23),Semenyo: 22-23,Bristol City,Bournemouth
Siriki Dembélé,MID,2021-22,7,2022-23,6.0,0.0,0.0,50.0,Siriki Dembélé (2022-23),Dembélé: 22-23,Peterborough United,Bournemouth
Jamal Lowe,MID,2021-22,7,2022-23,2.0,0.0,0.0,55.0,Jamal Lowe (2022-23),Lowe: 22-23,Swansea City,Bournemouth
Harry Toffolo,DEF,2021-22,6,2022-23,30.0,0.0,0.0,45.0,Harry Toffolo (2022-23),Toffolo: 22-23,Huddersfield,Nott'm Forest
Marcus Tavernier,MID,2021-22,5,2022-23,94.0,5.0,4.0,50.0,Marcus Tavernier (2022-23),Tavernier: 22-23,Middlesbrough,Bournemouth
James Garner,MID,2021-22,4,2022-23,25.0,0.0,1.0,45.0,James Garner (2022-23),Garner: 22-23,Nott'm Forest,Everton
Luke Plange,FWD,2021-22,4,2022-23,0.0,0.0,0.0,45.0,Luke Plange (2022-23),Plange: 22-23,Derby County,Crystal Palace
Lewis O'Brien,MID,2021-22,3,2022-23,22.0,1.0,0.0,50.0,Lewis O'Brien (2022-23),O'Brien: 22-23,Huddersfield,Nott'm Forest
Joe Rothwell,MID,2021-22,3,2022-23,33.0,0.0,1.0,50.0,Joe Rothwell (2022-23),Rothwell: 22-23,Blackburn Rovers,Bournemouth
Levi Colwill,DEF,2021-22,2,2022-23,46.0,0.0,2.0,45.0,Levi Colwill (2022-23),Colwill: 22-23,Huddersfield,Brighton
Djed Spence,DEF,2021-22,2,2022-23,4.0,0.0,0.0,45.0,Djed Spence (2022-23),Spence: 22-23,Nott'm Forest,Spurs
Neco Williams,DEF,2021-22,2,2022-23,54.0,1.0,1.0,40.0,Neco Williams (2022-23),Williams: 22-23,Fulham,Nott'm Forest
James Bree,DEF,2021-22,1,2022-23,4.0,0.0,0.0,45.0,James Bree (2022-23),Bree: 22-23,Luton,Southampton
Matt Clarke,DEF,2021-22,1,2022-23,0.0,0.0,0.0,40.0,Matt Clarke (2022-23),Clarke: 22-23,West Brom,Brighton
Flynn Downes,MID,2021-22,1,2022-23,27.0,0.0,0.0,45.0,Flynn Downes (2022-23),Downes: 22-23,Swansea City,West Ham
Malcolm Ebiowei,MID,2021-22,1,2022-23,3.0,0.0,0.0,45.0,Malcolm Ebiowei (2022-23),Ebiowei: 22-23,Derby County,Crystal Palace
Sepp van den Berg,DEF,2021-22,1,2022-23,0.0,0.0,0.0,40.0,Sepp van den Berg (2022-23),van den Berg: 22-23,Preston North End,Liverpool
Jan Paul van Hecke,DEF,2021-22,1,2022-23,6.0,0.0,0.0,40.0,Jan Paul van Hecke (2022-23),Paul van Hecke: 22-23,Blackburn Rovers,Brighton
Ben Brereton,MID,2022-23,14,2023-24,62.0,6.0,1.0,50.0,Ben Brereton (2023-24),Brereton: 23-24,Blackburn Rovers,Sheffield Utd
Cameron Archer,FWD,2022-23,11,2023-24,82.0,4.0,3.0,45.0,Cameron Archer (2023-24),Archer: 23-24,Middlesbrough,Sheffield Utd
Gustavo Hamer,MID,2022-23,9,2023-24,108.0,4.0,7.0,50.0,Gustavo Hamer (2023-24),Hamer: 23-24,Coventry City,Sheffield Utd
Chiedozie Ogbene,FWD,2022-23,8,2023-24,84.0,4.0,4.0,50.0,Chiedozie Ogbene (2023-24),Ogbene: 23-24,Rotherham United,Luton
Aaron Ramsey,MID,2022-23,8,2023-24,18.0,0.0,0.0,50.0,Aaron Ramsey (2023-24),Ramsey: 23-24,Norwich,Burnley
Jacob Brown,FWD,2022-23,7,2023-24,39.0,2.0,1.0,50.0,Jacob Brown (2023-24),Brown: 23-24,Stoke City,Luton
Sander Berge,MID,2022-23,6,2023-24,74.0,1.0,2.0,50.0,Sander Berge (2023-24),Berge: 23-24,Sheffield Utd,Burnley
Michael Obafemi,FWD,2022-23,5,2023-24,2.0,0.0,0.0,50.0,Michael Obafemi (2023-24),Obafemi: 23-24,Swansea City,Burnley
Josh Bowler,MID,2022-23,4,2023-24,0.0,0.0,0.0,45.0,Josh Bowler (2023-24),Bowler: 23-24,Blackpool FC,Nott'm Forest
Tahith Chong,MID,2022-23,4,2023-24,78.0,4.0,2.0,50.0,Tahith Chong (2023-24),Chong: 23-24,Birmingham City,Luton
Ian Maatsen,MID,2022-23,4,2023-24,11.0,0.0,0.0,55.0,Ian Maatsen (2023-24),Maatsen: 23-24,Burnley,Chelsea
Auston Trusty,DEF,2022-23,4,2023-24,28.0,0.0,0.0,40.0,Auston Trusty (2023-24),Trusty: 23-24,Birmingham City,Sheffield Utd
Tommy Doyle,MID,2022-23,3,2023-24,38.0,0.0,0.0,45.0,Tommy Doyle (2023-24),Doyle: 23-24,Sheffield Utd,Wolves
Dara O'Shea,DEF,2022-23,2,2023-24,69.0,3.0,4.0,45.0,Dara O'Shea (2023-24),O'Shea: 23-24,West Brom,Burnley
Adam Wharton,MID,2022-23,2,2023-24,50.0,0.0,3.0,50.0,Adam Wharton (2023-24),Wharton: 23-24,Blackburn Rovers,Crystal Palace
Max Aarons,DEF,2022-23,1,2023-24,28.0,0.0,1.0,45.0,Max Aarons (2023-24),Aarons: 23-24,Norwich,Bournemouth
Cesare Casadei,MID,2022-23,1,2023-24,11.0,0.0,0.0,45.0,Cesare Casadei (2023-24),Casadei: 23-24,Reading FC,Chelsea
Ben Jackson,DEF,2022-23,1,2023-24,0.0,0.0,0.0,40.0,Ben Jackson (2023-24),Jackson: 23-24,Huddersfield,Brighton
Kaine Kesler-Hayden,DEF,2022-23,1,2023-24,3.0,0.0,0.0,40.0,Kaine Kesler-Hayden (2023-24),Kesler-Hayden: 23-24,Huddersfield,Aston Villa
Andrew Omobamidele,DEF,2022-23,1,2023-24,11.0,0.0,0.0,45.0,Andrew Omobamidele (2023-24),Omobamidele: 23-24,Norwich,Nott'm Forest
Morgan Rogers,MID,2022-23,1,2023-24,35.0,3.0,1.0,50.0,Morgan Rogers (2023-24),Rogers: 23-24,Blackpool FC,Aston Villa
Alex Scott,MID,2022-23,1,2023-24,41.0,1.0,1.0,50.0,Alex Scott (2023-24),Scott: 23-24,Bristol City,Bournemouth
Adama Traoré,MID,2022-23,1,2023-24,36.0,2.0,3.0,50.0,Adama Traoré (2023-24),Traoré: 23-24,Hull,Fulham
