Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Matheus Pereira,MID,2019-20,8,2020-21,153.0,11.0,7.0,60.0,Matheus Pereira (2020-21),Pereira: 20/21,West Brom,West Brom
Grady Diangana,MID,2019-20,8,2020-21,39.0,1.0,0.0,55.0,Grady Diangana (2020-21),Diangana: 20/21,West Brom,West Brom
Emiliano Buendia,MID,2018-19,8,2019-20,94.0,1.0,7.0,60.0,Emiliano Buendia (2019-20),Buendia: 19/20,Norwich,Norwich
Bryan Mbeumo,MID,2020-21,8,2021-22,119.0,4.0,7.0,55.0,Bryan Mbeumo (2021-22),Mbeumo: 21/22,Brentford,Brentford
Gastón Ramírez,MID,2015-16,7,2016-17,59.0,2.0,3.0,55.0,Gastón Ramírez (2016-17),Ramírez: 16/17,Middlesbrough,Middlesbrough
Joe Ralls,MID,2017-18,7,2018-19,45.0,0.0,0.0,50.0,Joe Ralls (2018-19),Ralls: 18/19,Cardiff,Cardiff
Sean Morrison,DEF,2017-18,7,2018-19,97.0,1.0,4.0,50.0,Sean Morrison (2018-19),Morrison: 18/19,Cardiff,Cardiff
Aboubakar Kamara,FWD,2017-18,7,2018-19,28.0,3.0,0.0,45.0,Aboubakar Kamara (2018-19),Kamara: 18/19,Fulham,Fulham
Troy Deeney,FWD,2020-21,7,2021-22,2.0,0.0,0.0,55.0,Troy Deeney (2021-22),Deeney: 21/22,Watford,Watford
Conor Hourihane,MID,2018-19,7,2019-20,83.0,3.0,5.0,60.0,Conor Hourihane (2019-20),Hourihane: 19/20,Aston Villa,Aston Villa
Matthew Phillips,MID,2019-20,7,2020-21,69.0,2.0,1.0,55.0,Matthew Phillips (2020-21),Phillips: 20/21,West Brom,West Brom
Elijah Adebayo,FWD,2022-23,7,2023-24,94.0,10.0,1.0,50.0,Elijah Adebayo (2023-24),Adebayo: 23/24,Luton,Luton
Josh Brownhill,MID,2022-23,7,2023-24,78.0,4.0,2.0,50.0,Josh Brownhill (2023-24),Brownhill: 23/24,Burnley,Burnley
Marcus Forss,FWD,2020-21,7,2021-22,11.0,0.0,1.0,55.0,Marcus Forss (2021-22),Forss: 21/22,Brentford,Brentford
Cristhian Stuani,FWD,2015-16,7,2016-17,54.0,4.0,0.0,50.0,Cristhian Stuani (2016-17),Stuani: 16/17,Middlesbrough,Middlesbrough
Mateusz Klich,MID,2019-20,6,2020-21,99.0,4.0,5.0,55.0,Mateusz Klich (2020-21),Klich: 20/21,Leeds,Leeds
