Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Matthew Phillips,West Brom,MID,2019-20,5,2020-21,69.0,2.0,1.0,Matthew Phillips (2020-21),Phillips: 20/21
Ken Sema,Watford,MID,2020-21,5,2021-22,26.0,0.0,0.0,Ken Sema (2021-22),Sema: 21/22
DeAndre Yedlin,Newcastle,DEF,2016-17,5,2017-18,88.0,0.0,2.0,DeAndre Yedlin (2017-18),Yedlin: 17/18
Alfie Doughty,Luton,DEF,2022-23,5,2023-24,101.0,2.0,10.0,Alfie Doughty (2023-24),Doughty: 23/24
Max Lowe,Sheffield Utd,DEF,2022-23,5,2023-24,13.0,0.0,1.0,Max Lowe (2023-24),Lowe: 23/24
Oliver Norwood,Sheffield Utd,MID,2022-23,5,2023-24,42.0,1.0,0.0,Oliver Norwood (2023-24),Norwood: 23/24
Philip Zinckernagel,Watford,MID,2020-21,5,2021-22,0.0,0.0,0.0,Philip Zinckernagel (2021-22),Zinckernagel: 21/22
Stewart Downing,Middlesbrough,MID,2015-16,5,2016-17,77.0,1.0,3.0,Stewart Downing (2016-17),Downing: 16/17
Mateusz Klich,Leeds,MID,2019-20,5,2020-21,99.0,4.0,5.0,Mateusz Klich (2020-21),Klich: 20/21
Tom Cairney,Fulham,MID,2017-18,5,2018-19,71.0,1.0,1.0,Tom Cairney (2018-19),Cairney: 18/19
Diogo Jota,Wolves,MID,2017-18,5,2018-19,139.0,9.0,8.0,Diogo Jota (2018-19),Jota: 18/19
Nathaniel Mendez-Laing,Cardiff,MID,2017-18,5,2018-19,63.0,4.0,1.0,Nathaniel Mendez-Laing (2018-19),Mendez/Laing: 18/19
Kenneth Zohoré,Cardiff,FWD,2017-18,5,2018-19,33.0,1.0,1.0,Kenneth Zohoré (2018-19),Zohoré: 18/19
Albert Adomah,Middlesbrough,MID,2015-16,5,2016-17,3.0,0.0,0.0,Albert Adomah (2016-17),Adomah: 16/17
Glenn Murray,Brighton,FWD,2016-17,5,2017-18,111.0,12.0,0.0,Glenn Murray (2017-18),Murray: 17/18
Jiří Skalák,Brighton,MID,2016-17,5,2017-18,0.0,0.0,0.0,Jiří Skalák (2017-18),Skalák: 17/18
Momo Diamé,Hull,MID,2015-16,4,2016-17,0.0,0.0,0.0,Momo Diamé (2016-17),Diamé: 16/17
Joe Ralls,Cardiff,MID,2017-18,4,2018-19,45.0,0.0,0.0,Joe Ralls (2018-19),Ralls: 18/19
Jonathan Leko,West Brom,MID,2019-20,4,2020-21,0.0,0.0,0.0,Jonathan Leko (2020-21),Leko: 20/21
Tom Huddlestone,Hull,MID,2015-16,4,2016-17,62.0,1.0,2.0,Tom Huddlestone (2016-17),Huddlestone: 16/17
Jake Livermore,West Brom,MID,2019-20,4,2020-21,25.0,0.0,0.0,Jake Livermore (2020-21),Livermore: 20/21
Anthony Knockaert,Fulham,MID,2019-20,4,2020-21,0.0,0.0,0.0,Anthony Knockaert (2020-21),Knockaert: 20/21
Stefan Johansen,Fulham,MID,2019-20,4,2020-21,0.0,0.0,0.0,Stefan Johansen (2020-21),Johansen: 20/21
Luke Ayling,Leeds,DEF,2019-20,4,2020-21,100.0,0.0,0.0,Luke Ayling (2020-21),Ayling: 20/21
Andy Robertson,Hull,DEF,2015-16,4,2016-17,73.0,1.0,2.0,Andy Robertson (2016-17),Robertson: 16/17
Sam Vokes,Burnley,FWD,2015-16,4,2016-17,121.0,10.0,4.0,Sam Vokes (2016-17),Vokes: 16/17
Kieron Freeman,Sheffield Utd,DEF,2018-19,4,2019-20,2.0,0.0,0.0,Kieron Freeman (2019-20),Freeman: 19/20
Jamal Lewis,Norwich,DEF,2018-19,4,2019-20,48.0,1.0,0.0,Jamal Lewis (2019-20),Lewis: 19/20
David McGoldrick,Sheffield Utd,FWD,2018-19,4,2019-20,65.0,2.0,2.0,David McGoldrick (2019-20),McGoldrick: 19/20
Billy Sharp,Sheffield Utd,FWD,2018-19,4,2019-20,57.0,3.0,2.0,Billy Sharp (2019-20),Sharp: 19/20
Callum Paterson,Cardiff,MID,2017-18,4,2018-19,80.0,4.0,2.0,Callum Paterson (2018-19),Paterson: 18/19
Aboubakar Kamara,Fulham,MID,2019-20,4,2020-21,8.0,0.0,0.0,Aboubakar Kamara (2020-21),Kamara: 20/21
Tomer Hemed,Brighton,FWD,2016-17,4,2017-18,43.0,2.0,2.0,Tomer Hemed (2017-18),Hemed: 17/18
Josh Cullen,Burnley,MID,2022-23,4,2023-24,65.0,2.0,4.0,Josh Cullen (2023-24),Cullen: 23/24
Jordan Clark,Luton,MID,2022-23,4,2023-24,44.0,1.0,1.0,Jordan Clark (2023-24),Clark: 23/24
Antonee Robinson,Fulham,DEF,2021-22,4,2022-23,93.0,0.0,2.0,Antonee Robinson (2022-23),Robinson: 22/23
Matt Doherty,Wolves,DEF,2017-18,4,2018-19,144.0,4.0,7.0,Matt Doherty (2018-19),Doherty: 18/19
Sam Baldock,Brighton,FWD,2016-17,4,2017-18,2.0,0.0,0.0,Sam Baldock (2017-18),Baldock: 17/18
Gaëtan Bong,Brighton,DEF,2016-17,4,2017-18,63.0,0.0,0.0,Gaëtan Bong (2017-18),Bong: 17/18
Bruno Saltor,Brighton,DEF,2016-17,4,2017-18,84.0,0.0,0.0,Bruno Saltor (2017-18),Saltor: 17/18
Yoan Gouffran,Newcastle,MID,2016-17,4,2017-18,0.0,0.0,0.0,Yoan Gouffran (2017-18),Gouffran: 17/18
Tom Cairney,Fulham,MID,2021-22,4,2022-23,53.0,2.0,1.0,Tom Cairney (2022-23),Cairney: 22/23
Ismaïla Sarr,Watford,MID,2020-21,4,2021-22,81.0,5.0,2.0,Ismaïla Sarr (2021-22),Sarr: 21/22
Joe Bennett,Cardiff,DEF,2017-18,4,2018-19,77.0,0.0,1.0,Joe Bennett (2018-19),Bennett: 18/19
Teemu Pukki,Norwich,FWD,2020-21,4,2021-22,142.0,11.0,3.0,Teemu Pukki (2021-22),Pukki: 21/22
Joshua Dasilva,Brentford,MID,2020-21,4,2021-22,7.0,0.0,0.0,Joshua Dasilva (2021-22),Dasilva: 21/22
James Tarkowski,Burnley,DEF,2015-16,3,2016-17,23.0,0.0,0.0,James Tarkowski (2016-17),Tarkowski: 16/17
James McAtee,Sheffield Utd,MID,2022-23,3,2023-24,77.0,3.0,4.0,James McAtee (2023-24),McAtee: 23/24
Manuel Benson,Burnley,MID,2022-23,3,2023-24,8.0,0.0,0.0,Manuel Benson (2023-24),Benson: 23/24
George Baldock,Sheffield Utd,DEF,2022-23,3,2023-24,21.0,0.0,2.0,George Baldock (2023-24),Baldock: 23/24
Elijah Adebayo,Luton,FWD,2022-23,3,2023-24,94.0,10.0,1.0,Elijah Adebayo (2023-24),Adebayo: 23/24
Vitaly Janelt,Brentford,MID,2020-21,3,2021-22,90.0,4.0,0.0,Vitaly Janelt (2021-22),Janelt: 21/22
Josh Onomah,Fulham,MID,2019-20,3,2020-21,13.0,0.0,0.0,Josh Onomah (2020-21),Onomah: 20/21
Bobby De Cordova-Reid,Fulham,FWD,2019-20,3,2020-21,88.0,5.0,3.0,Bobby De Cordova-Reid (2020-21),De Cordova/Reid: 20/21
