Player,Team,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Ezgjan Alioski,Leeds,DEF,2019-20,6,2020-21,110.0,2.0,3.0,Ezgjan Alioski (2020-21),Alioski: 20-21
Bobby De Cordova-Reid,Fulham,FWD,2019-20,6,2020-21,88.0,5.0,3.0,Bobby De Cordova-Reid (2020-21),De Cordova-Reid: 20-21
Jack Harrison,Leeds,MID,2019-20,6,2020-21,160.0,8.0,10.0,Jack Harrison (2020-21),Harrison: 20-21
John McGinn,Aston Villa,MID,2018-19,6,2019-20,84.0,3.0,3.0,John McGinn (2019-20),McGinn: 19-20
Jack Grealish,Aston Villa,MID,2018-19,6,2019-20,149.0,8.0,7.0,Jack Grealish (2019-20),Grealish: 19-20
Mark Duffy,Sheffield Utd,MID,2018-19,6,2019-20,0.0,0.0,0.0,Mark Duffy (2019-20),Duffy: 19-20
Anass Zaroury,Burnley,MID,2022-23,6,2023-24,4.0,0.0,0.0,Anass Zaroury (2023-24),Zaroury: 23-24
Anel Ahmedhodžić,Sheffield Utd,DEF,2022-23,6,2023-24,31.0,2.0,0.0,Anel Ahmedhodžić (2023-24),Ahmedhodžić: 23-24
Sam Clucas,Hull,MID,2015-16,6,2016-17,87.0,3.0,1.0,Sam Clucas (2016-17),Clucas: 16-17
Todd Cantwell,Norwich,MID,2020-21,6,2021-22,10.0,0.0,0.0,Todd Cantwell (2021-22),Cantwell: 21-22
Christian Atsu,Newcastle,MID,2016-17,5,2017-18,78.0,2.0,4.0,Christian Atsu (2017-18),Atsu: 17-18
George Boyd,Burnley,MID,2015-16,5,2016-17,92.0,2.0,2.0,George Boyd (2016-17),Boyd: 16-17
Joshua Dasilva,Brentford,MID,2020-21,5,2021-22,7.0,0.0,0.0,Joshua Dasilva (2021-22),Dasilva: 21-22
Kieran Dowell,Norwich,MID,2020-21,5,2021-22,41.0,1.0,1.0,Kieran Dowell (2021-22),Dowell: 21-22
Tariqe Fosu,Brentford,MID,2020-21,5,2021-22,1.0,0.0,0.0,Tariqe Fosu (2021-22),Fosu: 21-22
Jonjo Shelvey,Newcastle,MID,2016-17,5,2017-18,73.0,1.0,4.0,Jonjo Shelvey (2017-18),Shelvey: 17-18
Ken Sema,Watford,MID,2020-21,5,2021-22,26.0,0.0,0.0,Ken Sema (2021-22),Sema: 21-22
Michael Keane,Burnley,DEF,2015-16,5,2016-17,113.0,2.0,1.0,Michael Keane (2016-17),Keane: 16-17
Anwar el Ghazi,Aston Villa,MID,2018-19,5,2019-20,93.0,4.0,5.0,Anwar el Ghazi (2019-20),el Ghazi: 19-20
James Chester,Aston Villa,DEF,2018-19,5,2019-20,0.0,0.0,0.0,James Chester (2019-20),Chester: 19-20
Yoan Gouffran,Newcastle,MID,2016-17,5,2017-18,0.0,0.0,0.0,Yoan Gouffran (2017-18),Gouffran: 17-18
Andre Gray,Watford,FWD,2020-21,5,2021-22,0.0,0.0,0.0,Andre Gray (2021-22),Gray: 21-22
Stuart Dallas,Leeds,DEF,2019-20,5,2020-21,171.0,8.0,3.0,Stuart Dallas (2020-21),Dallas: 20-21
Barry Douglas,Wolves,DEF,2017-18,5,2018-19,0.0,0.0,0.0,Barry Douglas (2018-19),Douglas: 18-19
Jonathan Leko,West Brom,MID,2019-20,5,2020-21,0.0,0.0,0.0,Jonathan Leko (2020-21),Leko: 20-21
Tom Cairney,Fulham,MID,2017-18,5,2018-19,71.0,1.0,1.0,Tom Cairney (2018-19),Cairney: 18-19
Daryl Murphy,Newcastle,FWD,2016-17,5,2017-18,0.0,0.0,0.0,Daryl Murphy (2017-18),Murphy: 17-18
Hélder Costa,Wolves,MID,2017-18,5,2018-19,52.0,1.0,2.0,Hélder Costa (2018-19),Costa: 18-19
Connor Roberts,Burnley,DEF,2022-23,4,2023-24,12.0,0.0,1.0,Connor Roberts (2023-24),Roberts: 23-24
Grant Leadbitter,Middlesbrough,MID,2015-16,4,2016-17,28.0,1.0,0.0,Grant Leadbitter (2016-17),Leadbitter: 16-17
Jóhann Guðmundsson,Burnley,MID,2022-23,4,2023-24,48.0,1.0,3.0,Jóhann Guðmundsson (2023-24),Guðmundsson: 23-24
Chris Basham,Sheffield Utd,DEF,2018-19,4,2019-20,123.0,0.0,1.0,Chris Basham (2019-20),Basham: 19-20
Enda Stevens,Sheffield Utd,DEF,2018-19,4,2019-20,142.0,2.0,4.0,Enda Stevens (2019-20),Stevens: 19-20
Timm Klose,Norwich,DEF,2018-19,4,2019-20,9.0,0.0,0.0,Timm Klose (2019-20),Klose: 19-20
Jordan Hugill,Norwich,FWD,2020-21,4,2021-22,0.0,0.0,0.0,Jordan Hugill (2021-22),Hugill: 21-22
Dan Gosling,Watford,MID,2020-21,4,2021-22,11.0,1.0,0.0,Dan Gosling (2021-22),Gosling: 21-22
Tom Cleverley,Watford,MID,2020-21,4,2021-22,48.0,0.0,2.0,Tom Cleverley (2021-22),Cleverley: 21-22
Tyler Roberts,Leeds,MID,2019-20,4,2020-21,49.0,1.0,2.0,Tyler Roberts (2020-21),Roberts: 20-21
Aboubakar Kamara,Fulham,MID,2019-20,4,2020-21,8.0,0.0,0.0,Aboubakar Kamara (2020-21),Kamara: 20-21
Luke Ayling,Leeds,DEF,2019-20,4,2020-21,100.0,0.0,0.0,Luke Ayling (2020-21),Ayling: 20-21
Ben Godfrey,Norwich,DEF,2018-19,4,2019-20,38.0,0.0,0.0,Ben Godfrey (2019-20),Godfrey: 19-20
Aleksandar Mitrović,Newcastle,FWD,2016-17,4,2017-18,10.0,1.0,0.0,Aleksandar Mitrović (2017-18),Mitrović: 17-18
Danny Ward,Cardiff,MID,2017-18,4,2018-19,22.0,1.0,0.0,Danny Ward (2018-19),Ward: 18-19
Tommy Smith,Huddersfield,DEF,2016-17,4,2017-18,50.0,0.0,1.0,Tommy Smith (2017-18),Smith: 17-18
Aaron Mooy,Huddersfield,MID,2016-17,4,2017-18,113.0,4.0,3.0,Aaron Mooy (2017-18),Mooy: 17-18
Floyd Ayité,Fulham,MID,2017-18,4,2018-19,24.0,1.0,0.0,Floyd Ayité (2018-19),Ayité: 18-19
Sol Bamba,Cardiff,DEF,2017-18,4,2018-19,95.0,4.0,1.0,Sol Bamba (2018-19),Bamba: 18-19
Matt Doherty,Wolves,DEF,2017-18,4,2018-19,144.0,4.0,7.0,Matt Doherty (2018-19),Doherty: 18-19
Romain Saïss,Wolves,DEF,2017-18,4,2018-19,47.0,2.0,0.0,Romain Saïss (2018-19),Saïss: 18-19
Solly March,Brighton,MID,2016-17,3,2017-18,74.0,1.0,3.0,Solly March (2017-18),March: 17-18
Jamaal Lascelles,Newcastle,DEF,2016-17,3,2017-18,116.0,3.0,0.0,Jamaal Lascelles (2017-18),Lascelles: 17-18
Willy Boly,Wolves,DEF,2017-18,3,2018-19,120.0,4.0,0.0,Willy Boly (2018-19),Boly: 18-19
Omar Bogle,Cardiff,FWD,2017-18,3,2018-19,0.0,0.0,0.0,Omar Bogle (2018-19),Bogle: 18-19
Emilio N'Sue,Middlesbrough,DEF,2015-16,3,2016-17,10.0,0.0,0.0,Emilio N'Sue (2016-17),N'Sue: 16-17
Luke Berry,Luton,MID,2022-23,3,2023-24,31.0,2.0,1.0,Luke Berry (2023-24),Berry: 23-24
Allan Campbell,Luton,MID,2022-23,3,2023-24,0.0,0.0,0.0,Allan Campbell (2023-24),Campbell: 23-24
Neeskens Kebano,Fulham,MID,2017-18,3,2018-19,7.0,0.0,0.0,Neeskens Kebano (2018-19),Kebano: 18-19
Pelly-Ruddock Mpanzu,Luton,MID,2022-23,3,2023-24,35.0,0.0,0.0,Pelly-Ruddock Mpanzu (2023-24),Mpanzu: 23-24
Neeskens Kebano,Fulham,MID,2019-20,3,2020-21,6.0,0.0,0.0,Neeskens Kebano (2020-21),Kebano: 20-21
Anthony Knockaert,Fulham,MID,2019-20,3,2020-21,0.0,0.0,0.0,Anthony Knockaert (2020-21),Knockaert: 20-21
Jordan Zemura,Bournemouth,DEF,2021-22,3,2022-23,47.0,0.0,1.0,Jordan Zemura (2022-23),Zemura: 22-23
Jack Colback,Nott'm Forest,MID,2021-22,3,2022-23,14.0,0.0,0.0,Jack Colback (2022-23),Colback: 22-23
Ryan Christie,Bournemouth,MID,2021-22,3,2022-23,64.0,1.0,2.0,Ryan Christie (2022-23),Christie: 22-23
Tom Cairney,Fulham,MID,2021-22,3,2022-23,53.0,2.0,1.0,Tom Cairney (2022-23),Cairney: 22-23
Adama Diomandé,Hull,FWD,2015-16,3,2016-17,42.0,2.0,0.0,Adama Diomandé (2016-17),Diomandé: 16-17
Stewart Downing,Middlesbrough,MID,2015-16,3,2016-17,77.0,1.0,3.0,Stewart Downing (2016-17),Downing: 16-17
Ahmed Elmohamady,Hull,MID,2015-16,3,2016-17,62.0,0.0,2.0,Ahmed Elmohamady (2016-17),Elmohamady: 16-17
Kenneth Zohoré,West Brom,FWD,2019-20,3,2020-21,0.0,0.0,0.0,Kenneth Zohoré (2020-21),Zohoré: 20-21
Callum Robinson,West Brom,FWD,2019-20,3,2020-21,79.0,5.0,3.0,Callum Robinson (2020-21),Robinson: 20-21
Josh Onomah,Fulham,MID,2019-20,3,2020-21,13.0,0.0,0.0,Josh Onomah (2020-21),Onomah: 20-21
Dara O'Shea,West Brom,DEF,2019-20,3,2020-21,41.0,0.0,0.0,Dara O'Shea (2020-21),O'Shea: 20-21
Jake Livermore,West Brom,MID,2019-20,3,2020-21,25.0,0.0,0.0,Jake Livermore (2020-21),Livermore: 20-21
Jack Robinson,Sheffield Utd,DEF,2022-23,3,2023-24,33.0,1.0,1.0,Jack Robinson (2023-24),Robinson: 23-24
Kevin McDonald,Fulham,MID,2017-18,3,2018-19,17.0,0.0,0.0,Kevin McDonald (2018-19),McDonald: 18-19
Nathaniel Chalobah,Watford,MID,2020-21,3,2021-22,0.0,0.0,0.0,Nathaniel Chalobah (2021-22),Chalobah: 21-22
Ciaran Clark,Newcastle,DEF,2016-17,3,2017-18,64.0,2.0,1.0,Ciaran Clark (2017-18),Clark: 17-18
Momo Diamé,Newcastle,MID,2016-17,3,2017-18,70.0,2.0,0.0,Momo Diamé (2017-18),Diamé: 17-18
Michael Hefele,Huddersfield,DEF,2016-17,3,2017-18,1.0,0.0,0.0,Michael Hefele (2017-18),Hefele: 17-18
Kenny McLean,Norwich,MID,2018-19,3,2019-20,77.0,1.0,1.0,Kenny McLean (2019-20),McLean: 19-20
Oliver Norwood,Sheffield Utd,MID,2018-19,3,2019-20,98.0,1.0,3.0,Oliver Norwood (2019-20),Norwood: 19-20
Jack O'Connell,Sheffield Utd,DEF,2018-19,3,2019-20,111.0,0.0,1.0,Jack O'Connell (2019-20),O'Connell: 19-20
Scott Twine,Burnley,MID,2022-23,3,2023-24,0.0,0.0,0.0,Scott Twine (2023-24),Twine: 23-24
Vitaly Janelt,Brentford,MID,2020-21,3,2021-22,90.0,4.0,0.0,Vitaly Janelt (2021-22),Janelt: 21-22
Adam Idah,Norwich,FWD,2020-21,3,2021-22,36.0,1.0,2.0,Adam Idah (2021-22),Idah: 21-22
Saman Ghoddos,Brentford,MID,2020-21,3,2021-22,30.0,1.0,2.0,Saman Ghoddos (2021-22),Ghoddos: 21-22
Tom Lockyer,Luton,DEF,2022-23,3,2023-24,23.0,1.0,1.0,Tom Lockyer (2023-24),Lockyer: 23-24
Anthony Pilkington,Cardiff,MID,2017-18,3,2018-19,0.0,0.0,0.0,Anthony Pilkington (2018-19),Pilkington: 18-19
Tosin Adarabioyo,Fulham,DEF,2021-22,2,2022-23,49.0,1.0,0.0,Tosin Adarabioyo (2022-23),Adarabioyo: 22-23
Andy Robertson,Hull,DEF,2015-16,2,2016-17,73.0,1.0,2.0,Andy Robertson (2016-17),Robertson: 16-17
David Meyler,Hull,MID,2015-16,2,2016-17,33.0,1.0,0.0,David Meyler (2016-17),Meyler: 16-17
Kenny Tete,Fulham,DEF,2021-22,2,2022-23,90.0,1.0,5.0,Kenny Tete (2022-23),Tete: 22-23
Antonee Robinson,Fulham,DEF,2021-22,2,2022-23,93.0,0.0,2.0,Antonee Robinson (2022-23),Robinson: 22-23
Scott McKenna,Nott'm Forest,DEF,2021-22,2,2022-23,40.0,0.0,0.0,Scott McKenna (2022-23),McKenna: 22-23
Daniel Ayala,Middlesbrough,DEF,2015-16,2,2016-17,31.0,1.0,0.0,Daniel Ayala (2016-17),Ayala: 16-17
Curtis Davies,Hull,DEF,2015-16,2,2016-17,38.0,0.0,2.0,Curtis Davies (2016-17),Davies: 16-17
Kenny McLean,Norwich,MID,2020-21,2,2021-22,69.0,1.0,0.0,Kenny McLean (2021-22),McLean: 21-22
Adam Masina,Watford,DEF,2020-21,2,2021-22,25.0,0.0,1.0,Adam Masina (2021-22),Masina: 21-22
Mathias Jensen,Brentford,MID,2020-21,2,2021-22,54.0,0.0,1.0,Mathias Jensen (2021-22),Jensen: 21-22
Adam Forshaw,Middlesbrough,MID,2015-16,2,2016-17,77.0,0.0,2.0,Adam Forshaw (2016-17),Forshaw: 16-17
Max Aarons,Norwich,DEF,2020-21,2,2021-22,55.0,0.0,2.0,Max Aarons (2021-22),Aarons: 21-22
Tom Huddlestone,Hull,MID,2015-16,2,2016-17,62.0,1.0,2.0,Tom Huddlestone (2016-17),Huddlestone: 16-17
Ben Mee,Burnley,DEF,2015-16,2,2016-17,94.0,1.0,2.0,Ben Mee (2016-17),Mee: 16-17
Ivan Cavaleiro,Fulham,MID,2021-22,2,2022-23,0.0,0.0,0.0,Ivan Cavaleiro (2022-23),Cavaleiro: 22-23
Jamie Shackleton,Leeds,MID,2019-20,2,2020-21,17.0,0.0,0.0,Jamie Shackleton (2020-21),Shackleton: 20-21
Kieron Freeman,Sheffield Utd,DEF,2018-19,2,2019-20,2.0,0.0,0.0,Kieron Freeman (2019-20),Freeman: 19-20
Ahmed Elmohamady,Aston Villa,DEF,2018-19,2,2019-20,39.0,1.0,1.0,Ahmed Elmohamady (2019-20),Elmohamady: 19-20
Birkir Bjarnason,Aston Villa,MID,2018-19,2,2019-20,0.0,0.0,0.0,Birkir Bjarnason (2019-20),Bjarnason: 19-20
Max Aarons,Norwich,DEF,2018-19,2,2019-20,66.0,0.0,2.0,Max Aarons (2019-20),Aarons: 19-20
Cauley Woodrow,Luton,FWD,2022-23,2,2023-24,33.0,1.0,1.0,Cauley Woodrow (2023-24),Woodrow: 23-24
Kalvin Phillips,Leeds,MID,2019-20,2,2020-21,67.0,1.0,2.0,Kalvin Phillips (2020-21),Phillips: 20-21
Rajiv van La Parra,Huddersfield,MID,2016-17,2,2017-18,74.0,3.0,0.0,Rajiv van La Parra (2017-18),van La Parra: 17-18
Dale Stephens,Brighton,MID,2016-17,2,2017-18,87.0,0.0,3.0,Dale Stephens (2017-18),Stephens: 17-18
Christopher Schindler,Huddersfield,DEF,2016-17,2,2017-18,102.0,0.0,2.0,Christopher Schindler (2017-18),Schindler: 17-18
Collin Quaner,Huddersfield,FWD,2016-17,2,2017-18,44.0,0.0,4.0,Collin Quaner (2017-18),Quaner: 17-18
Jack Payne,Huddersfield,MID,2016-17,2,2017-18,0.0,0.0,0.0,Jack Payne (2017-18),Payne: 17-18
Jamie Murphy,Brighton,MID,2016-17,2,2017-18,6.0,0.0,0.0,Jamie Murphy (2017-18),Murphy: 17-18
Chris Löwe,Huddersfield,DEF,2016-17,2,2017-18,60.0,0.0,0.0,Chris Löwe (2017-18),Löwe: 17-18
Isaac Hayden,Newcastle,MID,2016-17,2,2017-18,41.0,1.0,0.0,Isaac Hayden (2017-18),Hayden: 17-18
Lewis Dunk,Brighton,DEF,2016-17,2,2017-18,97.0,1.0,1.0,Lewis Dunk (2017-18),Dunk: 17-18
Shane Duffy,Brighton,DEF,2016-17,2,2017-18,100.0,0.0,2.0,Shane Duffy (2017-18),Duffy: 17-18
Philip Billing,Huddersfield,MID,2016-17,2,2017-18,22.0,0.0,0.0,Philip Billing (2017-18),Billing: 17-18
John Fleck,Sheffield Utd,MID,2018-19,2,2019-20,101.0,5.0,2.0,John Fleck (2019-20),Fleck: 19-20
Jordan Clark,Luton,MID,2022-23,2,2023-24,44.0,1.0,1.0,Jordan Clark (2023-24),Clark: 23-24
Alfie Doughty,Luton,DEF,2022-23,2,2023-24,101.0,2.0,10.0,Alfie Doughty (2023-24),Doughty: 23-24
John Egan,Sheffield Utd,DEF,2022-23,2,2023-24,1.0,0.0,0.0,John Egan (2023-24),Egan: 23-24
Jayden Bogle,Sheffield Utd,DEF,2022-23,2,2023-24,63.0,3.0,3.0,Jayden Bogle (2023-24),Bogle: 23-24
Luke Freeman,Luton,MID,2022-23,2,2023-24,0.0,0.0,0.0,Luke Freeman (2023-24),Freeman: 23-24
Emiliano Marcondes,Bournemouth,MID,2021-22,2,2022-23,1.0,0.0,0.0,Emiliano Marcondes (2022-23),Marcondes: 22-23
Liam Cooper,Leeds,DEF,2019-20,2,2020-21,59.0,1.0,0.0,Liam Cooper (2020-21),Cooper: 20-21
Reece Burke,Luton,DEF,2022-23,2,2023-24,40.0,0.0,4.0,Reece Burke (2023-24),Burke: 23-24
Kyle Edwards,West Brom,MID,2019-20,2,2020-21,5.0,0.0,0.0,Kyle Edwards (2020-21),Edwards: 20-21
